brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
LooknBook Art,,5500,15000,B0GFN3KZD9,https://www.amazon.in/LooknBook-Art-Paithani-Embroidered-Traditional/dp/B0GFN3KZD9/ref=sr_1_289,,,"Women's Lehenga Choli, Paithani Choli with Embroidered Border, Traditional Indian Ethnic Wear"
LooknBook Art,Silk,2350,6750,B0GHFT7LMP,https://www.amazon.in/LooknBook-Art-Lehenga-Vichitra-Beautiful/dp/B0GHFT7LMP/ref=sr_1_290,,,"Women's Lehenga Choli, Premium Vichitra Silk Lehenga Choli with Beautiful Prints"
Generic,,150,500,B0B7P5YMYX,https://www.amazon.in/Kreations-Womens-Handmade-Hanging-lehenga/dp/B0B7P5YMYX/ref=sr_1_291,,,"Kreations Women's Handmade Ethnic Work Golden Hanging latkan for Blouse, lehenga, Gown and Dress latkan for Women and Girls Brooch"
FELIZ THE DESIGNER STUDIO,,809,2199,B0DXJQXTJ2,https://www.amazon.in/FELIZ-DESIGNER-STUDIO-Readymade-Pavadai/dp/B0DXJQXTJ2/ref=sr_1_292,4.3,,Baby Girls Readymade South Indian Pattu Pavadai Lehenga Choli Set For Kids
Fashion Dream,Silk,859,2999,B0FXGYY5DS,https://www.amazon.in/Fashion-Dream-Embroidered-FDGLGC00181-18_Pista_2-3/dp/B0FXGYY5DS/ref=sr_1_293,3.8,,Girl's Chanderi Silk Printed Lehenga Choli Set|Lehenga Set for Girls|Ethnic Wear for Kids Girls|Lehenga for Kids|Chaniya Choli for Girls
Shae by SASSAFRAS,Velvet,2099,4999,B0FNWRZ3YW,https://www.amazon.in/Black-Velvet-Crop-Anarkali-Skirt/dp/B0FNWRZ3YW/ref=sr_1_294,,,Velvet V Neck Crop Top with Anarkali Skirt Lehenga Choli Set
Shining Star,,199,899,B09KRZV9LG,https://www.amazon.in/Golden-Shaped-Hanging-Dupatta-Lehenga/dp/B09KRZV9LG/ref=sr_1_295,,,Golden Pearl Dhol Shaped latkan Ethnic Work Hanging Latkan for Saree Blouse Dupatta Lehenga Set of 1 Pairs (Red)
JULEE,Chiffon,749,1999,B0GBWTV93K,https://www.amazon.in/JULEE-Womens-Chiffon-Semi-Stitched-Lehenga/dp/B0GBWTV93K/ref=sr_1_296,,,Women's Chiffon Solid Semi-Stitched Lehenga Choli DRS LH PETROL
RENVAANI FASHION,,799,1999,B0FCYDJDS9,https://www.amazon.in/RENVAANI-Traditional-Unstitched-RED-BLACK/dp/B0FCYDJDS9/ref=sr_1_297,3.6,,RENVAANI Women's Traditional Half Saree Lehenga Unstitched Blouse Piece
Generic,,,,B0G25BSSJG,https://www.amazon.in/Women-Colour-Stylish-Legha-Choli/dp/B0G25BSSJG/ref=sr_1_298,,,Women Blue Colour Stylish Legha Choli Wear
Thapnath,,2499,3499,B0DV58PK3R,https://www.amazon.in/Thapnath-Sequin-Lehenga-Dupatta-Gradient/dp/B0DV58PK3R/ref=sr_1_299,1,,"Sequin Lehenga Choli with Dupatta, Black Gradient Lehrngha set, Long Sleeve"
Ahalyaa,Silk,2009,7600,B0FMRBJ4NV,https://www.amazon.in/Printed-Ready-Lehenga-Blouse-Dupatta/dp/B0FMRBJ4NV/ref=sr_1_300,,,Women's Silk Blend Lehenga Choli
Generic,Net,750,1999,B0GC59Q52S,https://www.amazon.in/Creation-Embroidered-Semi-Stitched-Lehenga-Petrol-ABC/dp/B0GC59Q52S/ref=sr_1_301,,,Aika Creation Women's Net Embroidered Semi-Stitched Lehenga Choli Maanav LH Petrol-ABC
Generic,,140,599,B09RMHP72Y,https://www.amazon.in/Export-Handmade-Ethnic-Hanging-Lehenga/dp/B09RMHP72Y/ref=sr_1_302,5,,"Shiv Export Handmade Work Ethnic Hanging Latkan for Women Latkan Tassel 2 PC Blouse Saree Kurtis, Lehenga 5 Inch"
BIBA,,1350,2999,B0CZ75BSS7,https://www.amazon.in/BIBA-Girls-STRAIGHT-KWWHITE-BLOOMS5966_YELLOW_7/dp/B0CZ75BSS7/ref=sr_1_303,3.6,,Girls Poly Chanderi Readymade Printed Tasselled Lehenga Set
Generic,Silk,999,999,B0GLQS2JD9,https://www.amazon.in/Lehenga-Unstitched-Designer-Stitched-Wedding/dp/B0GLQS2JD9/ref=sr_1_304,,,Women's Floral & Patola Print With Foil Work Dolla silk Lehenga Choli Whit Unstitched Blouse | Designer Ethnic Wear Semi Stitched Wedding Special Foil Work Lehenga Choli
Soch,,15809,16998,B0F8VGMTVX,https://www.amazon.in/Soch-Womens-Viscose-Embroidered-Sequins/dp/B0F8VGMTVX/ref=sr_1_305,,,Womens Orange Viscose Embroidered Ghagra Choli With Sequins
ETHNICTREE,Silk,2349,8999,B0CH59HYKJ,https://www.amazon.in/ETHNICTREE-Stitched-Dupatta-Festive-Wedding/dp/B0CH59HYKJ/ref=sr_1_306,2.8,,"Women's Fully Stitched Silk Gown with Net Dupatta for Festive, Paty and Wedding"
Wommaniya Impex,,1144,1499,32396618,https://www.myntra.com/lehenga-choli/wommaniya+impex/wommaniya-impex-girls-embroidered-zardozi-puffed-sleeves-ready-to-wear-choli/32396618/buy,4.2,91,Wommaniya Impex Girls Embroidered Zardozi Puffed Sleeves Ready to Wear Choli
ETHNIC PLUS,,5499,9999,39049918,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-embellished-sequinned-ready-to-wear-lehenga--blouse-with-dupatta/39049918/buy,,,ETHNIC PLUS Embellished Sequinned Ready to Wear Lehenga & Blouse With Dupatta
FELIZ THE DESIGNER STUDIO,,961,2599,32178529,https://www.myntra.com/lehenga-choli/feliz+the+designer+studio/feliz-the-designer-studio-girls-ready-to-wear-lehenga-/32178529/buy,4.1,215,FELIZ THE DESIGNER STUDIO Girls Ready to Wear Lehenga &
SHAHUDI DESIGNER,Net,499,1499,37717299,https://www.myntra.com/lehenga-choli/shahudi+designer/shahudi-designer-girls-printed-crop-top-with-frilled-net-lehenga-choli-set/37717299/buy,3.5,16,SHAHUDI DESIGNER Girls Printed Crop Top With Frilled Net Lehenga Choli Set
LOOKNBOOK ART,,4174,11250,39520739,https://www.myntra.com/lehenga-choli/looknbook+art/looknbook-art-embellished-sequinned-semi-stitched-lehenga--blouse-with-dupatta/39520739/buy,,,LOOKNBOOK ART Embellished Sequinned Semi-Stitched Lehenga & Blouse With Dupatta
Anneca,,799,1999,32439132,https://www.myntra.com/lehenga-choli/anneca/anneca-girls-shoulder-strap-wooden-button-paisley-printed-lehenga--blouse-/32439132/buy,4.3,222,Anneca Girls Shoulder Strap Wooden Button Paisley Printed Lehenga & Blouse
Q-one Store,,922,2399,39971046,https://www.myntra.com/lehenga-choli/q-one+store/q-one-store-girls-embroidered-thread-work-ready-to-wear-lehenga-/39971046/buy,,,Q-one Store Girls Embroidered Thread Work Ready to Wear Lehenga &
Zeel Clothing,,4699,9999,36836190,https://www.myntra.com/lehenga-choli/zeel+clothing/zeel-clothing-embroidered-sequinned-semi-stitched-lehenga-with-blouse--dupatta/36836190/buy,,,Zeel Clothing Embroidered Sequinned Semi-Stitched Lehenga With Blouse & Dupatta
FELIZ THE DESIGNER STUDIO,,870,1999,32976978,https://www.myntra.com/lehenga-choli/feliz+the+designer+studio/feliz-the-designer-studio-girls-ready-to-wear-lehenga-/32976978/buy,4.3,78,FELIZ THE DESIGNER STUDIO Girls Ready to Wear Lehenga &
BAESD,,1476,5999,40167093,https://www.myntra.com/lehenga-choli/baesd/baesd-embellished-sequinned-ready-to-wear-lehenga--blouse-with-dupatta/40167093/buy,,,BAESD Embellished Sequinned Ready to Wear Lehenga & Blouse With Dupatta
ETHNIC PLUS,,2799,9999,39049894,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-embroidered-ready-to-wear-lehenga--blouse-with-dupatta/39049894/buy,,,ETHNIC PLUS Embroidered Ready to Wear Lehenga & Blouse With Dupatta
Sangria,Cotton,782,2499,36667986,https://www.myntra.com/lehenga-choli/sangria/sangria-baby-girl-yellow-mangalgiri-cotton-lehenga-choli/36667986/buy,,,Sangria Baby Girl Yellow Mangalgiri Cotton Lehenga Choli
KL9KIDS,,982,7999,39123741,https://www.myntra.com/lehenga-choli/kl9kids/kl9kids-girls-embellished-mirror-work-tie-and-dye-semi-stitched-lehenga--blouse-with-dupatta/39123741/buy,4,8,KL9KIDS Girls Embellished Mirror Work Tie and Dye Semi-Stitched Lehenga & Blouse With Dupatta
Tiber Taber,Cotton,,,30026983,https://www.myntra.com/lehenga-choli/tiber+taber/tiber-taber-girls-embroidered-cotton-ready-to-wear-lehenga--blouse-with-dupatta/30026983/buy,4.6,18,Tiber Taber Girls Embroidered Cotton Ready to Wear Lehenga & Blouse With Dupatta
JAY NAGNATH FAB,,982,7999,34673183,https://www.myntra.com/lehenga-choli/jay+nagnath+fab/jay-nagnath-fab-girls-embellished-mirror-work-ready-to-wear-lehenga--blouse-with-dupatta/34673183/buy,3.5,458,JAY NAGNATH FAB Girls Embellished Mirror Work Ready to Wear Lehenga & Blouse With Dupatta
GORLYA,,664,1899,32748774,https://www.myntra.com/lehenga-choli/gorlya/gorlya-girls-floral-printed-ready-to-wear-lehenga--blouse-with-dupatta/32748774/buy,4,209,GORLYA Ready to Wear Lehenga Set
ETHNIC PLUS,,5499,9999,39002479,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-embellished-sequinned-semi-stitched-lehenga--blouse-with-dupatta/39002479/buy,4.3,21,ETHNIC PLUS Semi-Stitched Lehenga Choli
MANY FROCKS &,,1999,3299,39034981,https://www.myntra.com/lehenga-choli/many+frocks+%26/many-frocks--girls-embroidered-sequinned-ready-to-wear-lehenga-blouse-with-dupatta/39034981/buy,,,MANY FROCKS & Leheriya Lengha Choli Dupatta
KALINI,,1279,7999,22978932,https://www.myntra.com/lehenga-choli/kalini/kalini-foil-printed-ready-to-wear-lehenga-choli-with-dupatta/22978932/buy,4.2,14,KALINI Ready to Wear Lehenga Choli
JOVK DESIGN,,824,2499,31220691,https://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-ready-to-wear-lehenga--choli/31220691/buy,4.2,3,JOVK DESIGN Girl Embroidered Lehenga Choli
Sangria,,719,2399,39212329,https://www.myntra.com/lehenga-choli/sangria/sangria-embellished-v-neck-flared-lehenga-choli/39212329/buy,,,Sangria Lehenga Choli
STORIZE,,3999,4999,40248504,https://www.myntra.com/lehenga-choli/storize/storize-girls-embroidered-ready-to-wear-lehenga-/40248504/buy,,,STORIZE Ready to Wear Lehenga
Zeel Clothing,,5499,9999,39052013,https://www.myntra.com/lehenga-choli/zeel+clothing/zeel-clothing-embellished-sequinned-semi-stitched-lehenga--blouse-with-dupatta/39052013/buy,,,Zeel Clothing Semi-Stitched Lehenga Choli
SHAHUDI DESIGNER,,499,1499,38195664,https://www.myntra.com/lehenga-choli/shahudi+designer/shahudi-designer-girls-floral--printed-lehenga--choli/38195664/buy,2.8,14,SHAHUDI DESIGNER Girls Printed Lehenga Choli
KALINI,,989,2499,40011446,https://www.myntra.com/lehenga-choli/kalini/kalini-girls-embroidered-thread-work-ready-to-wear-lehenga--blouse-with-dupatta/40011446/buy,,,KALINI Girls Embroidery Lehenga Choli
ETHNIC PLUS,,2935,9999,36426760,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-printed-sequinned-semi-stitched-lehenga--unstitched-blouse-with-dupatta/36426760/buy,4.3,42,ETHNIC PLUS Semi-Stitched Lehenga Set
RJ ONLINE,Silk,922,2499,35783120,https://www.myntra.com/lehenga-choli/rj+online/rj-online-embellished-silk-lehenga-choli/35783120/buy,4.3,50,RJ ONLINE Silk Lehenga Choli
pspeaches,,1291,7656,23179526,https://www.myntra.com/lehenga-choli/pspeaches/pspeaches-girls-printed-ready-to-wear-lehenga--blouse-with-dupatta/23179526/buy,4.5,508,pspeaches Ready to Wear Lehenga Blouse With Dupatta
ETHNIC PLUS,,2935,9999,39049889,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-embroidered-thread-work-semi-stitched-lehenga--blouse-with-dupatta/39049889/buy,,,ETHNIC PLUS Semi-Stitched Lehenga Choli
Sangria,,1483,5299,34923966,https://www.myntra.com/lehenga-choli/sangria/sangria-zari-embroidered-tie-up-neck-ready-to-wear-lehenga-choli/34923966/buy,4.4,7,Sangria Ready to Wear Lehenga Choli
JOVK DESIGN,,809,2999,39884662,https://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-tie-and-dye-ready-to-wear-lehenga--blouse-with-dupatta/39884662/buy,,,JOVK DESIGN Lehenga Blouse With Dupatta
LOOKNBOOK ART,,1839,5747,31289568,https://www.myntra.com/lehenga-choli/looknbook+art/looknbook-art-zari-work-ready-to-wear-lehenga--unstitched-blouse-with-dupatta/31289568/buy,4.2,264,LOOKNBOOK ART Ready to Wear Lehenga Choli
Moda Rapido,,1299,4599,39216735,https://www.myntra.com/lehenga-choli/moda+rapido/moda-rapido-embroidered-sequinned-semi-stitched-lehenga--unstitched-blouse-with-dupatta/39216735/buy,2.2,20,Moda Rapido Women Lehenga Choli
VASTRAMAY,,623,2399,29698564,https://www.myntra.com/lehenga-choli/vastramay/vastramay-girls-printed-mirror-work-ready-to-wear-lehenga--blouse-with-dupatta/29698564/buy,4.5,179,VASTRAMAY Ready to Wear Lehenga Choli
Label Shaurya Sanadhya,,6739,8219,22455414,https://www.myntra.com/lehenga-choli/label+shaurya+sanadhya/label-shaurya-sanadhya-embellished-sequinned-ready-to-wear-lehenga--blouse-with-dupatta/22455414/buy,3.8,37,Label Shaurya Sanadhya Ready to Wear Lehenga Blouse With Dupatta
STANWELLS KIDS,,999,2599,33642865,https://www.myntra.com/lehenga-choli/stanwells+kids/stanwells-kids-girls-woven-design-lehenga-with-blouse/33642865/buy,4,6,STANWELLS KIDS Girls Lehenga With Blouse
Tiny Twirls,,880,2199,40193643,https://www.myntra.com/lehenga-choli/tiny+twirls/tiny-twirls-girls-printed-ready-to-wear-bandhani-design-lehenga--blouse/40193643/buy,,,Tiny Twirls Ready to Wear Lehenga Set
MADHURAM,,1799,6999,37992412,https://www.myntra.com/lehenga-choli/madhuram/madhuram-embroidered-thread-work-ready-to-wear-lehenga-/37992412/buy,4.6,65,MADHURAM Premium Lehenga choli
NKV,,880,7999,32718619,https://www.myntra.com/lehenga-choli/nkv/nkv-girls-printed-mirror-work-sweetheart-neck-ready-to-wear-lehenga-with-blouse--dupatta/32718619/buy,4.6,17,NKV Girls Printed Lehenga Choli
Sangria,,824,2499,37955677,https://www.myntra.com/lehenga-choli/sangria/sangria-embroidered-v-neck-flared-lehenga-choli/37955677/buy,4.8,5,Sangria Embroidered Lehenga Choli
LOOKNBOOK ART,,3649,10497,33764128,https://www.myntra.com/lehenga-choli/looknbook+art/looknbook-art-floral-embroidered-ready-to-wear-lehenga--unstitched-blouse-with-dupatta/33764128/buy,3.9,123,LOOKNBOOK ART Embroidered Lehenga Choli Set
BAESD,,989,2499,39636316,https://www.myntra.com/lehenga-choli/baesd/baesd-girls-printed-ready-to-wear-lehenga--blouse-with-dupatta/39636316/buy,,,"BAESD Lehenga, Choli and Dupatta"
satyamfab,,407,1699,33380391,https://www.myntra.com/lehenga-choli/satyamfab/satyamfab-girls-embroidered-ready-to-wear-lehenga--blouse-with-dupatta/33380391/buy,4.1,165,satyamfab Ready to Wear Lehenga Blouse With Dupatta
MADHURAM,,2099,7999,33773259,https://www.myntra.com/lehenga-choli/madhuram/madhuram-embroidered-ready-to-wear-lehenga--choli-/33773259/buy,4.6,488,MADHURAM Ready to Wear Lehenga Choli
JAY NAGNATH FAB,,982,7999,34673179,https://www.myntra.com/lehenga-choli/jay+nagnath+fab/jay-nagnath-fab-girls-embellished-mirror-work-ready-to-wear-lehenga--blouse-with-dupatta/34673179/buy,3.5,457,JAY NAGNATH FAB Ready to Wear Lehenga Blouse With Dupatta
BAESD,,1799,4599,35493493,https://www.myntra.com/lehenga-choli/baesd/baesd-embroidered-sequinned-semi-stitched-lehenga--unstitched-blouse-with-dupatta/35493493/buy,2.8,23,BAESD Semi-Stitched Lehenga Blouse
JOVK DESIGN,,824,2499,31220842,https://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-ready-to-wear-lehenga--choli/31220842/buy,4.2,3,JOVK DESIGN Girl Embroidered Lehenga Choli
pspeaches,,916,4583,17907640,https://www.myntra.com/lehenga-choli/pspeaches/pspeaches-girls-magenta--blue-printed-ready-to-wear-lehenga--blouse-with-dupatta/17907640/buy,4.1,666,pspeaches Ready to Wear Lehenga Blouse With Dupatta
KALINI,,989,2499,40068696,https://www.myntra.com/lehenga-choli/kalini/kalini-girls-embellished-sequinned-ready-to-wear-lehenga-/40068696/buy,,,KALINI Girls Embroidery Lehenga Skirt
ETHNIC PLUS,,4299,9999,39632509,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-embellished-sequinned-ready-to-wear-lehenga--blouse-with-dupatta/39632509/buy,,,ETHNIC PLUS Semi-Stitched Lehenga Choli
